3.629520000000000000e+05,1.363720739422686901e-01,1.217846971034011005e+01,4.000000000000000000e+01
8.309560000000000000e+05,5.033978649171123587e-01,7.100386089216771168e+00,3.000000000000000000e+01
7.267330000000000000e+05,5.956316190632096053e-01,1.696376364456466135e+01,1.900000000000000000e+01
8.681900000000000000e+05,4.913774634789072060e-01,6.181045221154588098e+00,1.200000000000000000e+01
3.897030000000000000e+05,8.313570975707283706e-02,8.048276801835536176e+00,4.100000000000000000e+01
9.785710000000000000e+05,3.321815751992323040e-01,1.998960181157087490e+01,8.300000000000000000e+01
1.422570000000000000e+05,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
7.403680000000000000e+05,2.195439769601723323e-01,6.744126998231546821e+00,2.600000000000000000e+01
3.317050000000000000e+05,6.003945416529026247e-01,5.853126440374953887e-01,9.400000000000000000e+01
9.711440000000000000e+05,1.333106004074419149e-01,1.210731361384997840e+01,5.400000000000000000e+01
9.055160000000000000e+05,1.902278899600319817e-01,6.986331435852687122e+00,8.100000000000000000e+01
8.436490000000000000e+05,4.277968135094816216e-01,8.154142217187059671e+00,1.900000000000000000e+01
9.608080000000000000e+05,1.733051842096103301e-01,1.123336155942827119e+01,6.900000000000000000e+01
7.637570000000000000e+05,1.513330903798019156e-01,1.989512753327149852e+01,5.800000000000000000e+01
5.993020000000000000e+05,1.315348365920141482e-01,2.410266035849586430e-01,6.100000000000000000e+01
6.897070000000000000e+05,5.168923769430744386e-01,5.200095215137747751e+00,3.000000000000000000e+01
2.707660000000000000e+05,1.290452155066608986e-01,7.440539316559257266e+00,3.800000000000000000e+01
9.797940000000000000e+05,5.199207212706409287e-01,3.211752061402322056e+01,6.900000000000000000e+01
4.212770000000000000e+05,1.452637577340418207e-01,-6.143074152102312446e-02,5.400000000000000000e+01
2.747210000000000000e+05,1.178768610205297579e-01,1.046507556008064732e+01,3.800000000000000000e+01
2.151080000000000000e+05,3.968001896228589565e-01,4.106702387064999016e+00,2.300000000000000000e+01
2.032800000000000000e+05,6.246035598671011435e-01,2.477138480094723860e+01,3.100000000000000000e+01
4.649210000000000000e+05,2.176182133494750093e-01,3.922534019670529837e+00,6.600000000000000000e+01
3.310130000000000000e+05,2.522933802433497963e-01,7.089311492484217325e+00,6.300000000000000000e+01
7.336780000000000000e+05,3.362319594833046432e-01,3.184716804443382898e+00,8.000000000000000000e+01
